kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,4,4,4,4,0.0672658749999755,0.34479987621307373,,
2,4,4,8,8,0.06652625200001694,0.3318200707435608,,
2,4,4,16,16,0.06590690699999868,0.33213573694229126,,
2,4,4,32,32,0.06591012100000171,0.333717942237854,,
2,4,4,64,64,0.06730351499999188,0.3330373466014862,,
2,4,4,128,128,0.06697253600003705,0.33333146572113037,,
2,4,8,4,4,0.23946680000000242,0.3299843668937683,,
2,4,8,8,8,0.23807971999997335,0.33520472049713135,,
2,4,8,16,16,0.2364243050000141,0.3328603506088257,,
2,4,8,32,32,0.23937626100001808,0.33320361375808716,,
2,4,8,64,64,0.23891219800003682,0.33329546451568604,,
2,4,8,128,128,0.23829027300001826,0.33318275213241577,,
2,4,16,4,4,0.8814796320000369,0.3325103223323822,,
2,4,16,8,8,0.8846469320000097,0.33306217193603516,,
2,4,16,16,16,0.9020679259999724,0.3329528868198395,,
2,4,16,32,32,0.8987029950000078,0.3335888087749481,,
2,4,16,64,64,0.8995736319999992,0.33343684673309326,,
2,4,16,128,128,0.9085316169999942,0.33335578441619873,,
2,4,32,4,4,3.430055602999971,0.3325626850128174,,
2,4,32,8,8,3.4511405940000373,0.33442285656929016,,
2,4,32,16,16,3.460224222000022,0.3332201838493347,,
2,4,32,32,32,3.4842332100000135,0.3333459794521332,,
2,4,32,64,64,3.4770686659999797,0.33328548073768616,,
2,4,32,128,128,3.4888857349999967,0.33332180976867676,,
2,4,64,4,4,13.505891856999995,0.33285242319107056,,
2,4,64,8,8,13.59304253700003,0.3331805169582367,,
2,4,64,16,16,13.694358166000029,0.33325299620628357,,
2,4,64,32,32,13.599217550000049,0.3332982361316681,,
2,4,64,64,64,13.730577558999983,0.3333166539669037,,
2,4,64,128,128,13.718500565999989,0.3333303928375244,,
2,4,128,4,4,53.638123880999956,0.33303096890449524,,
2,4,128,8,8,54.22977347400001,0.33327361941337585,,
2,4,128,16,16,54.31123778699998,0.333310604095459,,
2,4,128,32,32,54.43053042100007,0.33334043622016907,,
2,4,128,64,64,54.32331214699991,0.33333027362823486,,
2,4,128,128,128,54.604032018,0.3333377540111542,,
2,8,4,4,4,0.06553276600016034,0.13721983134746552,,
